Date,Price,Open,High,Low,Volume,Change %,Vol.
11/11/2023,0.005232,0.005451,0.005489,0.005182,341180000,-4.03%,341.18M
11/12/2023,0.005451,0.00551,0.005589,0.005205,494330000,-1.01%,494.33M
11/13/2023,0.005507,0.005379,0.005621,0.005362,384050000,2.39%,384.05M
11/14/2023,0.005379,0.005524,0.005811,0.005363,447900000,-2.63%,447.90M
11/15/2023,0.005524,0.00507,0.005556,0.004974,498830000,8.95%,498.83M
11/16/2023,0.00507,0.005761,0.005766,0.004942,573170000,-12.08%,573.17M
11/17/2023,0.005767,0.005604,0.005883,0.005581,464730000,2.90%,464.73M
11/18/2023,0.005604,0.005524,0.00567,0.005424,352080000,1.46%,352.08M
11/19/2023,0.005524,0.005381,0.005956,0.005268,631360000,2.65%,631.36M
11/20/2023,0.005381,0.005906,0.005908,0.00507,807390000,-8.89%,807.39M
11/21/2023,0.005906,0.005969,0.00607,0.00572,656820000,-1.05%,656.82M
11/22/2023,0.005969,0.005442,0.005978,0.005343,583300000,9.68%,583.30M
11/23/2023,0.005442,0.004705,0.005531,0.004705,460890000,15.67%,460.89M
11/24/2023,0.004705,0.004561,0.004975,0.004551,407270000,3.14%,407.27M
11/25/2023,0.004561,0.004634,0.005063,0.004345,803300000,-1.57%,803.30M
11/26/2023,0.004634,0.004153,0.004674,0.00415,501770000,11.59%,501.77M
11/27/2023,0.004153,0.003962,0.004234,0.003856,517260000,4.81%,517.26M
11/28/2023,0.003962,0.00388,0.004362,0.003766,648650000,2.11%,648.65M
11/29/2023,0.00388,0.003398,0.003894,0.003231,767890000,14.19%,767.89M
11/30/2023,0.003398,0.003086,0.003556,0.003043,799540000,10.12%,799.54M
12/1/2023,0.003086,0.002796,0.003101,0.002788,530060000,10.37%,530.06M
12/2/2023,0.002796,0.002859,0.002937,0.002768,262480000,-2.20%,262.48M
12/3/2023,0.002859,0.002818,0.002887,0.002796,201540000,1.50%,201.54M
12/4/2023,0.002817,0.002717,0.002872,0.002711,215810000,3.63%,215.81M
12/5/2023,0.002718,0.002807,0.002831,0.002692,239680000,-3.02%,239.68M
12/6/2023,0.002803,0.002769,0.002838,0.002709,226260000,1.21%,226.26M
12/7/2023,0.002769,0.003011,0.003026,0.002751,263210000,-8.05%,263.21M
12/8/2023,0.003011,0.002801,0.003046,0.002786,275980000,7.52%,275.98M
12/9/2023,0.002801,0.002707,0.002824,0.002699,195950000,3.45%,195.95M
12/10/2023,0.002707,0.0028,0.002825,0.002632,189050000,-3.31%,189.05M
12/11/2023,0.0028,0.002765,0.002913,0.002765,236640000,1.28%,236.64M
12/12/2023,0.002765,0.002874,0.00294,0.002722,369790000,-3.75%,369.79M
12/13/2023,0.002872,0.003164,0.003202,0.00284,333200000,-9.17%,333.20M
12/14/2023,0.003162,0.003153,0.003249,0.003128,236870000,0.25%,236.87M
12/15/2023,0.003154,0.003283,0.003302,0.003126,257780000,-3.91%,257.78M
